Department,Date,Revenue,Expense,PatientVolume,BedOccupancy,ALOS,PatientSatisfaction,ReadmissionRate
Emergency,01-12-2025,373987.82,113718.11,1019,89.2,1.9,71.2,6.3
Emergency,01-01-2026,1203940.33,821407.52,831,87.5,1.8,72.6,7.2
Emergency,01-01-2026,401616.17,374754.97,831,87.5,1.8,72.6,7.2
Emergency,01-01-2026,401616.17,318037.71,831,87.5,1.8,72.6,7.2
Emergency,01-01-2026,401616.17,187498.05,831,87.5,1.8,72.6,7.2
Emergency,01-01-2026,401616.17,125329.9,831,87.5,1.8,72.6,7.2
Emergency,01-02-2026,1129959.23,758235.93,920,88,1.9,74.7,6.4
Emergency,01-02-2026,383403.63,379964.34,920,88,1.9,74.7,6.4
Emergency,01-02-2026,383403.63,318287.74,920,88,1.9,74.7,6.4
Emergency,01-02-2026,383403.63,186604.83,920,88,1.9,74.7,6.4
Emergency,01-02-2026,383403.63,122247.73,920,88,1.9,74.7,6.4
Emergency,01-03-2026,1112793.49,761827.08,919,89.2,1.8,70.9,6.5
Emergency,01-03-2026,369305.19,368298.96,919,89.2,1.8,70.9,6.5
Emergency,01-03-2026,369305.19,317869.5,919,89.2,1.8,70.9,6.5
Emergency,01-03-2026,369305.19,196724.31,919,89.2,1.8,70.9,6.5
Emergency,01-03-2026,369305.19,119830.48,919,89.2,1.8,70.9,6.5
Emergency,01-04-2026,1217116.75,867300.64,909,88.7,1.8,69.8,7.5
Emergency,01-04-2026,397122.6,369662.93,909,88.7,1.8,69.8,7.5
Emergency,01-04-2026,397122.6,328874.68,909,88.7,1.8,69.8,7.5
Emergency,01-04-2026,397122.6,182478.51,909,88.7,1.8,69.8,7.5
Emergency,01-04-2026,397122.6,136345.45,909,88.7,1.8,69.8,7.5
Emergency,01-05-2026,1353094.22,834525.28,948,92.1,1.7,74.6,6.6
Emergency,01-05-2026,407067.95,377831.52,948,92.1,1.7,74.6,6.6
Emergency,01-05-2026,407067.95,350920.38,948,92.1,1.7,74.6,6.6
Emergency,01-05-2026,407067.95,173421.35,948,92.1,1.7,74.6,6.6
Emergency,01-05-2026,407067.95,121460.91,948,92.1,1.7,74.6,6.6
Emergency,01-06-2026,1171816.1,775792.08,917,89.3,1.8,71.1,6.5
Emergency,01-06-2026,395460.46,334835.38,917,89.3,1.8,71.1,6.5
Emergency,01-06-2026,395460.46,324811.15,917,89.3,1.8,71.1,6.5
Emergency,01-06-2026,395460.46,184621.25,917,89.3,1.8,71.1,6.5
Emergency,01-06-2026,395460.46,123071.35,917,89.3,1.8,71.1,6.5
Emergency,01-07-2026,1222891.16,893919.41,927,90.2,1.8,72.2,6.4
Emergency,01-07-2026,379901.25,396336.89,927,90.2,1.8,72.2,6.4
Emergency,01-07-2026,379901.25,369809.4,927,90.2,1.8,72.2,6.4
Emergency,01-07-2026,379901.25,201260.49,927,90.2,1.8,72.2,6.4
Emergency,01-07-2026,379901.25,137374.84,927,90.2,1.8,72.2,6.4
Emergency,01-08-2026,1305033.28,881140.15,962,94.4,1.8,72.5,7.1
Emergency,01-08-2026,397866.34,405728.18,962,94.4,1.8,72.5,7.1
Emergency,01-08-2026,397866.34,380039.62,962,94.4,1.8,72.5,7.1
Emergency,01-08-2026,397866.34,208539.93,962,94.4,1.8,72.5,7.1
Emergency,01-08-2026,397866.34,129214.71,962,94.4,1.8,72.5,7.1
Emergency,01-09-2026,1251464.56,893047.47,947,93.2,1.8,69.4,7.1
Emergency,01-09-2026,379609.6,368795.27,947,93.2,1.8,69.4,7.1
Emergency,01-09-2026,379609.6,322887.26,947,93.2,1.8,69.4,7.1
Emergency,01-09-2026,379609.6,196614.27,947,93.2,1.8,69.4,7.1
Emergency,01-09-2026,379609.6,137866.31,947,93.2,1.8,69.4,7.1
General Medicine,01-10-2025,1401867.68,777811.04,459,73.3,4,80.7,5.7
General Medicine,01-10-2025,453298.35,344462.15,459,73.3,4,80.7,5.7
General Medicine,01-10-2025,453298.35,277803.11,459,73.3,4,80.7,5.7
General Medicine,01-10-2025,453298.35,174464.98,459,73.3,4,80.7,5.7
General Medicine,01-10-2025,453298.35,121875.16,459,73.3,4,80.7,5.7
General Medicine,01-11-2025,1339391.88,736480.69,531,74.1,3.6,78.7,4.6
General Medicine,01-11-2025,429498.23,344983.73,531,74.1,3.6,78.7,4.6
General Medicine,01-11-2025,429498.23,283553.54,531,74.1,3.6,78.7,4.6
General Medicine,01-11-2025,429498.23,152155.47,531,74.1,3.6,78.7,4.6
General Medicine,01-11-2025,429498.23,109635.02,531,74.1,3.6,78.7,4.6
General Medicine,01-12-2025,1351717.38,802723.57,521,74,3.7,79.9,4.9
General Medicine,01-12-2025,435909.99,339482.09,521,74,3.7,79.9,4.9
General Medicine,01-12-2025,435909.99,293974.89,521,74,3.7,79.9,4.9
General Medicine,01-12-2025,435909.99,178761.74,521,74,3.7,79.9,4.9
General Medicine,01-12-2025,435909.99,116861.82,521,74,3.7,79.9,4.9
General Medicine,01-01-2026,1409937.15,759406.72,513,77.9,3.8,76.2,5.7
General Medicine,01-01-2026,464860.43,337119.03,513,77.9,3.8,76.2,5.7
General Medicine,01-01-2026,464860.43,271899.6,513,77.9,3.8,76.2,5.7
General Medicine,01-01-2026,464860.43,147111.28,513,77.9,3.8,76.2,5.7
General Medicine,01-01-2026,464860.43,108711.1,513,77.9,3.8,76.2,5.7
General Medicine,01-02-2026,1489751.69,732931.26,540,79.4,3.5,80.3,4.7
General Medicine,01-02-2026,457300.2,314420.58,540,79.4,3.5,80.3,4.7
General Medicine,01-02-2026,457300.2,291806.28,540,79.4,3.5,80.3,4.7
General Medicine,01-02-2026,457300.2,153867.01,540,79.4,3.5,80.3,4.7
General Medicine,01-02-2026,457300.2,115851.45,540,79.4,3.5,80.3,4.7
General Medicine,01-03-2026,1449306.57,764195.82,544,79.5,3.5,77.4,5.6
General Medicine,01-03-2026,426503.06,350633.62,544,79.5,3.5,77.4,5.6
General Medicine,01-03-2026,426503.06,312103.36,544,79.5,3.5,77.4,5.6
General Medicine,01-03-2026,426503.06,165116.15,544,79.5,3.5,77.4,5.6
General Medicine,01-03-2026,426503.06,110018.94,544,79.5,3.5,77.4,5.6
General Medicine,01-04-2026,1596325.21,705777.84,465,79.1,3.5,79.2,5.2
General Medicine,01-04-2026,458067.8,334672.58,465,79.1,3.5,79.2,5.2
General Medicine,01-04-2026,458067.8,281678.28,465,79.1,3.5,79.2,5.2
General Medicine,01-04-2026,458067.8,156719.74,465,79.1,3.5,79.2,5.2
General Medicine,01-04-2026,458067.8,111498.18,465,79.1,3.5,79.2,5.2
General Medicine,01-05-2026,1432111.58,684868.34,507,77,3.8,80,4.7
General Medicine,01-05-2026,448052.75,346495.29,507,77,3.8,80,4.7
General Medicine,01-05-2026,448052.75,299584.89,507,77,3.8,80,4.7
General Medicine,01-05-2026,448052.75,172275.08,507,77,3.8,80,4.7
General Medicine,01-05-2026,448052.75,115384.96,507,77,3.8,80,4.7
General Medicine,01-06-2026,1382978.14,686567.13,561,76.8,3.6,81.1,5.2
General Medicine,01-06-2026,445236.28,327931.1,561,76.8,3.6,81.1,5.2
General Medicine,01-06-2026,445236.28,302306.28,561,76.8,3.6,81.1,5.2
General Medicine,01-06-2026,445236.28,169930.43,561,76.8,3.6,81.1,5.2
General Medicine,01-06-2026,445236.28,115427.78,561,76.8,3.6,81.1,5.2
General Medicine,01-07-2026,1596532.72,726115.95,490,77.7,3.6,80,4.5
General Medicine,01-07-2026,453457.75,339459.76,490,77.7,3.6,80,4.5
General Medicine,01-07-2026,453457.75,276281.78,490,77.7,3.6,80,4.5
General Medicine,01-07-2026,453457.75,151288.64,490,77.7,3.6,80,4.5
General Medicine,01-07-2026,453457.75,113718.5,490,77.7,3.6,80,4.5
General Medicine,01-08-2026,1586683.25,777117.2,514,75.4,3.6,79.8,5
General Medicine,01-08-2026,464007.83,337727.92,514,75.4,3.6,79.8,5
General Medicine,01-08-2026,464007.83,282746.45,514,75.4,3.6,79.8,5
General Medicine,01-08-2026,464007.83,156410.65,514,75.4,3.6,79.8,5
General Medicine,01-08-2026,464007.83,106272.2,514,75.4,3.6,79.8,5
General Medicine,01-09-2026,1326885.37,792839.51,571,79.2,3.5,80.2,5.7
General Medicine,01-09-2026,448020.97,329131.76,571,79.2,3.5,80.2,5.7
General Medicine,01-09-2026,448020.97,306565.52,571,79.2,3.5,80.2,5.7
General Medicine,01-09-2026,448020.97,158692.61,571,79.2,3.5,80.2,5.7
General Medicine,01-09-2026,448020.97,120464.28,571,79.2,3.5,80.2,5.7
General Surgery,01-10-2025,1457301.5,768042.13,298,76.3,4.2,79.9,4
General Surgery,01-10-2025,499718.86,346409.22,298,76.3,4.2,79.9,4
General Surgery,01-10-2025,499718.86,312683.41,298,76.3,4.2,79.9,4
General Surgery,01-10-2025,499718.86,156036.53,298,76.3,4.2,79.9,4
General Surgery,01-10-2025,499718.86,115166.71,298,76.3,4.2,79.9,4
General Surgery,01-11-2025,1432577.62,799282.61,320,72.9,4.3,81.5,4.6
General Surgery,01-11-2025,486213.31,340004.76,320,72.9,4.3,81.5,4.6
General Surgery,01-11-2025,486213.31,336564.84,320,72.9,4.3,81.5,4.6
General Surgery,01-11-2025,486213.31,175875.72,320,72.9,4.3,81.5,4.6
General Surgery,01-11-2025,486213.31,129955.61,320,72.9,4.3,81.5,4.6
General Surgery,01-12-2025,1824776.88,815088.56,329,74.7,4.1,80.4,5
General Surgery,01-12-2025,513475.38,379158.7,329,74.7,4.1,80.4,5
General Surgery,01-12-2025,513475.38,326919.18,329,74.7,4.1,80.4,5
General Surgery,01-12-2025,513475.38,184665.28,329,74.7,4.1,80.4,5
General Surgery,01-12-2025,513475.38,124979.75,329,74.7,4.1,80.4,5
General Surgery,01-01-2026,1790257.13,829046.6,289,71.1,4.4,77.4,4.5
General Surgery,01-01-2026,524315.19,345043.45,289,71.1,4.4,77.4,4.5
General Surgery,01-01-2026,524315.19,299789.01,289,71.1,4.4,77.4,4.5
General Surgery,01-01-2026,524315.19,166218.2,289,71.1,4.4,77.4,4.5
General Surgery,01-01-2026,524315.19,123927.33,289,71.1,4.4,77.4,4.5
General Surgery,01-02-2026,1622140.52,797598.54,323,76.6,4.5,82.3,4.4
General Surgery,01-02-2026,523633.75,323954.18,323,76.6,4.5,82.3,4.4
General Surgery,01-02-2026,523633.75,301977.6,323,76.6,4.5,82.3,4.4
General Surgery,01-02-2026,523633.75,167375.84,323,76.6,4.5,82.3,4.4
General Surgery,01-02-2026,523633.75,118096.9,323,76.6,4.5,82.3,4.4
General Surgery,01-03-2026,1740103.21,728878.3,314,77.2,4.4,81.7,4.3
General Surgery,01-03-2026,514683.93,349680.51,314,77.2,4.4,81.7,4.3
General Surgery,01-03-2026,514683.93,283409.46,314,77.2,4.4,81.7,4.3
General Surgery,01-03-2026,514683.93,166748.2,314,77.2,4.4,81.7,4.3
General Surgery,01-03-2026,514683.93,119283.03,314,77.2,4.4,81.7,4.3
General Surgery,01-04-2026,1799858.79,759916.88,309,72.8,3.9,76.9,4.5
General Surgery,01-04-2026,510849.54,346714.35,309,72.8,3.9,76.9,4.5
General Surgery,01-04-2026,510849.54,317533.08,309,72.8,3.9,76.9,4.5
General Surgery,01-04-2026,510849.54,180819.39,309,72.8,3.9,76.9,4.5
General Surgery,01-04-2026,510849.54,124827.54,309,72.8,3.9,76.9,4.5
General Surgery,01-05-2026,1750134.21,742819.77,320,75,3.9,79.1,4.5
General Surgery,01-05-2026,511571.25,357286.54,320,75,3.9,79.1,4.5
General Surgery,01-05-2026,511571.25,326426.58,320,75,3.9,79.1,4.5
General Surgery,01-05-2026,511571.25,166890.71,320,75,3.9,79.1,4.5
General Surgery,01-05-2026,511571.25,123044.24,320,75,3.9,79.1,4.5
General Surgery,01-06-2026,1599946.01,766824.63,338,73,4.3,79.8,4.5
General Surgery,01-06-2026,522754.03,353100.57,338,73,4.3,79.8,4.5
General Surgery,01-06-2026,522754.03,296891.04,338,73,4.3,79.8,4.5
General Surgery,01-06-2026,522754.03,173704.56,338,73,4.3,79.8,4.5
General Surgery,01-06-2026,522754.03,128446.15,338,73,4.3,79.8,4.5
General Surgery,01-07-2026,1553154.56,774618.37,301,71.5,4.3,81.5,4.9
General Surgery,01-07-2026,517951.48,352850.25,301,71.5,4.3,81.5,4.9
General Surgery,01-07-2026,517951.48,287898.57,301,71.5,4.3,81.5,4.9
General Surgery,01-07-2026,517951.48,170106.06,301,71.5,4.3,81.5,4.9
General Surgery,01-07-2026,517951.48,122376.14,301,71.5,4.3,81.5,4.9
General Surgery,01-08-2026,1614381.6,765899.25,321,73.6,4,78,4.4
General Surgery,01-08-2026,500715.97,335459.7,321,73.6,4,78,4.4
General Surgery,01-08-2026,500715.97,319029.27,321,73.6,4,78,4.4
General Surgery,01-08-2026,500715.97,172396.43,321,73.6,4,78,4.4
General Surgery,01-08-2026,500715.97,123009.12,321,73.6,4,78,4.4
General Surgery,01-09-2026,1882920.66,832598.64,333,75.3,4.2,78.6,4
General Surgery,01-09-2026,541996.02,341602.62,333,75.3,4.2,78.6,4
General Surgery,01-09-2026,541996.02,298716.08,333,75.3,4.2,78.6,4
General Surgery,01-09-2026,541996.02,164174.22,333,75.3,4.2,78.6,4
General Surgery,01-09-2026,541996.02,125280.69,333,75.3,4.2,78.6,4
ICU,01-10-2025,1982804.07,1303753.69,77,95.1,7.2,71.1,8.9
ICU,01-10-2025,668331.28,537319.38,77,95.1,7.2,71.1,8.9
ICU,01-10-2025,668331.28,516342.54,77,95.1,7.2,71.1,8.9
ICU,01-10-2025,668331.28,281766.36,77,95.1,7.2,71.1,8.9
ICU,01-10-2025,668331.28,194899.31,77,95.1,7.2,71.1,8.9
ICU,01-11-2025,2036285.16,1435945.6,88,87.4,7.5,76.2,9.4
ICU,01-11-2025,616914.15,649325.17,88,87.4,7.5,76.2,9.4
ICU,01-11-2025,616914.15,588647.42,88,87.4,7.5,76.2,9.4
ICU,01-11-2025,616914.15,311168.64,88,87.4,7.5,76.2,9.4
ICU,01-11-2025,616914.15,204157.68,88,87.4,7.5,76.2,9.4
ICU,01-12-2025,2067330.29,1344090.27,87,93.4,6.8,74.9,7.9
ICU,01-12-2025,616695.84,640163.07,87,93.4,6.8,74.9,7.9
ICU,01-12-2025,616695.84,512656.91,87,93.4,6.8,74.9,7.9
ICU,01-12-2025,616695.84,304200.4,87,93.4,6.8,74.9,7.9
ICU,01-12-2025,616695.84,214602.55,87,93.4,6.8,74.9,7.9
ICU,01-01-2026,2036573.42,1257663.53,80,93.8,6.8,75.3,7.7
ICU,01-01-2026,649110.55,588493.08,80,93.8,6.8,75.3,7.7
ICU,01-01-2026,649110.55,545120.24,80,93.8,6.8,75.3,7.7
ICU,01-01-2026,649110.55,278648.6,80,93.8,6.8,75.3,7.7
ICU,01-01-2026,649110.55,206727.8,80,93.8,6.8,75.3,7.7
ICU,01-02-2026,2098584.96,1459441.76,87,90.5,7,72.1,9.3
ICU,01-02-2026,639069.14,613188.49,87,90.5,7,72.1,9.3
ICU,01-02-2026,639069.14,539390.3,87,90.5,7,72.1,9.3
ICU,01-02-2026,639069.14,300093.96,87,90.5,7,72.1,9.3
ICU,01-02-2026,639069.14,232441.49,87,90.5,7,72.1,9.3
ICU,01-03-2026,2181247.72,1458556.87,93,93.8,7.2,76.6,9.5
ICU,01-03-2026,649873.14,605385.26,93,93.8,7.2,76.6,9.5
ICU,01-03-2026,649873.14,533647.26,93,93.8,7.2,76.6,9.5
ICU,01-03-2026,649873.14,285615.53,93,93.8,7.2,76.6,9.5
ICU,01-03-2026,649873.14,205796.45,93,93.8,7.2,76.6,9.5
ICU,01-04-2026,2062808.82,1431604.68,79,90.7,6.9,74.4,9.4
ICU,01-04-2026,676352.53,615668.57,79,90.7,6.9,74.4,9.4
ICU,01-04-2026,676352.53,587391.79,79,90.7,6.9,74.4,9.4
ICU,01-04-2026,676352.53,302404.81,79,90.7,6.9,74.4,9.4
ICU,01-04-2026,676352.53,220582.04,79,90.7,6.9,74.4,9.4
ICU,01-05-2026,1960150.24,1446945.48,82,93.7,6.8,74.3,9.5
ICU,01-05-2026,637649.25,597527.47,82,93.7,6.8,74.3,9.5
ICU,01-05-2026,637649.25,573496.12,82,93.7,6.8,74.3,9.5
ICU,01-05-2026,637649.25,318680.37,82,93.7,6.8,74.3,9.5
ICU,01-05-2026,637649.25,206827.87,82,93.7,6.8,74.3,9.5
ICU,01-06-2026,2090780.54,1416686.92,93,87.4,7.6,72.2,9.4
ICU,01-06-2026,698839.42,667215.07,93,87.4,7.6,72.2,9.4
ICU,01-06-2026,698839.42,570043.7,93,87.4,7.6,72.2,9.4
ICU,01-06-2026,698839.42,327751.54,93,87.4,7.6,72.2,9.4
ICU,01-06-2026,698839.42,222056.06,93,87.4,7.6,72.2,9.4
ICU,01-07-2026,2013035.33,1536395.76,80,94.7,6.8,72.1,7.8
ICU,01-07-2026,654216.22,639318.81,80,94.7,6.8,72.1,7.8
ICU,01-07-2026,654216.22,560075.66,80,94.7,6.8,72.1,7.8
ICU,01-07-2026,654216.22,338459.88,80,94.7,6.8,72.1,7.8
ICU,01-07-2026,654216.22,222233.77,80,94.7,6.8,72.1,7.8
ICU,01-08-2026,2405991.26,1388478.26,79,89.6,6.7,72.1,9.1
ICU,01-08-2026,698248.09,631304.14,79,89.6,6.7,72.1,9.1
ICU,01-08-2026,698248.09,616034.02,79,89.6,6.7,72.1,9.1
ICU,01-08-2026,698248.09,320403.29,79,89.6,6.7,72.1,9.1
ICU,01-08-2026,698248.09,235493.73,79,89.6,6.7,72.1,9.1
ICU,01-09-2026,2372322.7,1405653.29,94,89.9,6.7,71.6,9.3
ICU,01-09-2026,661411.22,615142.62,94,89.9,6.7,71.6,9.3
ICU,01-09-2026,661411.22,523368.25,94,89.9,6.7,71.6,9.3
ICU,01-09-2026,661411.22,309983.72,94,89.9,6.7,71.6,9.3
ICU,01-09-2026,661411.22,210313.35,94,89.9,6.7,71.6,9.3
Neurology,01-10-2025,1087873.74,568067.62,177,73.3,5.3,79.7,6.2
Neurology,01-10-2025,363421.26,280107.95,177,73.3,5.3,79.7,6.2
Neurology,01-10-2025,363421.26,227645.1,177,73.3,5.3,79.7,6.2
Neurology,01-10-2025,363421.26,133815.77,177,73.3,5.3,79.7,6.2
Neurology,01-10-2025,363421.26,94038.11,177,73.3,5.3,79.7,6.2
Neurology,01-11-2025,1274186.99,594017.91,194,69.7,5.2,79.1,5.6
Neurology,01-11-2025,359591.74,250601.99,194,69.7,5.2,79.1,5.6
Neurology,01-11-2025,359591.74,244933.32,194,69.7,5.2,79.1,5.6
Neurology,01-11-2025,359591.74,126025.47,194,69.7,5.2,79.1,5.6
Neurology,01-11-2025,359591.74,90532.03,194,69.7,5.2,79.1,5.6
Neurology,01-12-2025,1269935.77,564310.41,186,67.3,4.9,78.2,5.6
Neurology,01-12-2025,371325.32,240731.63,186,67.3,4.9,78.2,5.6
Neurology,01-12-2025,371325.32,231012.05,186,67.3,4.9,78.2,5.6
Neurology,01-12-2025,371325.32,139506.61,186,67.3,4.9,78.2,5.6
Neurology,01-12-2025,371325.32,97620.5,186,67.3,4.9,78.2,5.6
Neurology,01-01-2026,1246678.7,558395.57,188,68,4.7,79.5,6
Neurology,01-01-2026,351925.55,273576.93,188,68,4.7,79.5,6
Neurology,01-01-2026,351925.55,246160.05,188,68,4.7,79.5,6
Neurology,01-01-2026,351925.55,126240.07,188,68,4.7,79.5,6
Neurology,01-01-2026,351925.55,85309.87,188,68,4.7,79.5,6
Neurology,01-02-2026,1369069.64,617342.97,184,67.5,5.5,76.5,5.6
Neurology,01-02-2026,382541.12,276198.96,184,67.5,5.5,76.5,5.6
Neurology,01-02-2026,382541.12,223497.75,184,67.5,5.5,76.5,5.6
Neurology,01-02-2026,382541.12,141617.27,184,67.5,5.5,76.5,5.6
Neurology,01-02-2026,382541.12,91316.9,184,67.5,5.5,76.5,5.6
Neurology,01-03-2026,1132973.52,584505.58,204,67.4,5.1,77.9,6.5
Neurology,01-03-2026,378868.41,258576.99,204,67.4,5.1,77.9,6.5
Neurology,01-03-2026,378868.41,250447.8,204,67.4,5.1,77.9,6.5
Neurology,01-03-2026,378868.41,132937.61,204,67.4,5.1,77.9,6.5
Neurology,01-03-2026,378868.41,98193.78,204,67.4,5.1,77.9,6.5
Neurology,01-04-2026,1185452.25,601117.18,178,71.7,4.8,77.7,6.3
Neurology,01-04-2026,383555.96,261065.78,178,71.7,4.8,77.7,6.3
Neurology,01-04-2026,383555.96,250657.14,178,71.7,4.8,77.7,6.3
Neurology,01-04-2026,383555.96,138014.6,178,71.7,4.8,77.7,6.3
Neurology,01-04-2026,383555.96,85569.57,178,71.7,4.8,77.7,6.3
Neurology,01-05-2026,1287809.07,547702.57,186,73.2,4.7,77,6.1
Neurology,01-05-2026,375125.84,270228.6,186,73.2,4.7,77,6.1
Neurology,01-05-2026,375125.84,228920.64,186,73.2,4.7,77,6.1
Neurology,01-05-2026,375125.84,137316.83,186,73.2,4.7,77,6.1
Neurology,01-05-2026,375125.84,93314.93,186,73.2,4.7,77,6.1
Neurology,01-06-2026,1325927.58,545179.48,200,67.2,5.3,79.3,5.9
Neurology,01-06-2026,377908.22,276771.27,200,67.2,5.3,79.3,5.9
Neurology,01-06-2026,377908.22,235679.52,200,67.2,5.3,79.3,5.9
Neurology,01-06-2026,377908.22,136943.67,200,67.2,5.3,79.3,5.9
Neurology,01-06-2026,377908.22,92190.63,200,67.2,5.3,79.3,5.9
Neurology,01-07-2026,1301568.67,575410.14,189,67.8,4.8,75.6,6
Neurology,01-07-2026,369836.06,276332.09,189,67.8,4.8,75.6,6
