Department,Date,ExpenseCategory,Revenue,Expense,Profit,PatientVolume,BedOccupancy,ALOS,PatientSatisfaction,ReadmissionRate
Emergency,2026-03-01,utilities,369305.19,196724.31,172580.88,919,89.2,1.8,70.9,6.5
Emergency,2026-04-01,equipment,397122.6,369662.93,27459.67,909,88.7,1.8,69.8,7.5
Emergency,2026-04-01,maintenance,397122.6,136345.45,260777.15,909,88.7,1.8,69.8,7.5
Emergency,2026-04-01,salaries,1217116.75,867300.64,349816.11,909,88.7,1.8,69.8,7.5
Emergency,2026-04-01,supplies,397122.6,328874.68,68247.92,909,88.7,1.8,69.8,7.5
Emergency,2026-04-01,utilities,397122.6,182478.51,214644.09,909,88.7,1.8,69.8,7.5
Emergency,2026-05-01,equipment,407067.95,377831.52,29236.43,948,92.1,1.7,74.6,6.6
Emergency,2026-05-01,maintenance,407067.95,121460.91,285607.04,948,92.1,1.7,74.6,6.6
Emergency,2026-05-01,salaries,1353094.22,834525.28,518568.94,948,92.1,1.7,74.6,6.6
Emergency,2026-05-01,supplies,407067.95,350920.38,56147.57,948,92.1,1.7,74.6,6.6
Emergency,2026-05-01,utilities,407067.95,173421.35,233646.6,948,92.1,1.7,74.6,6.6
Emergency,2026-06-01,equipment,395460.46,334835.38,60625.08,917,89.3,1.8,71.1,6.5
Emergency,2026-06-01,maintenance,395460.46,123071.35,272389.11,917,89.3,1.8,71.1,6.5
Emergency,2026-06-01,salaries,1171816.1,775792.08,396024.02,917,89.3,1.8,71.1,6.5
Emergency,2026-06-01,supplies,395460.46,324811.15,70649.31,917,89.3,1.8,71.1,6.5
Emergency,2026-06-01,utilities,395460.46,184621.25,210839.21,917,89.3,1.8,71.1,6.5
Emergency,2026-07-01,equipment,379901.25,396336.89,-16435.64,927,90.2,1.8,72.2,6.4
Emergency,2026-07-01,maintenance,379901.25,137374.84,242526.41,927,90.2,1.8,72.2,6.4
Emergency,2026-07-01,salaries,1222891.16,893919.41,328971.75,927,90.2,1.8,72.2,6.4
Emergency,2026-07-01,supplies,379901.25,369809.4,10091.85,927,90.2,1.8,72.2,6.4
Emergency,2026-07-01,utilities,379901.25,201260.49,178640.76,927,90.2,1.8,72.2,6.4
Emergency,2026-08-01,equipment,397866.34,405728.18,-7861.84,962,94.4,1.8,72.5,7.1
Emergency,2026-08-01,maintenance,397866.34,129214.71,268651.63,962,94.4,1.8,72.5,7.1
Emergency,2026-08-01,salaries,1305033.28,881140.15,423893.13,962,94.4,1.8,72.5,7.1
Emergency,2026-08-01,supplies,397866.34,380039.62,17826.72,962,94.4,1.8,72.5,7.1
Emergency,2026-08-01,utilities,397866.34,208539.93,189326.41,962,94.4,1.8,72.5,7.1
Emergency,2026-09-01,equipment,379609.6,368795.27,10814.33,947,93.2,1.8,69.4,7.1
Emergency,2026-09-01,maintenance,379609.6,137866.31,241743.29,947,93.2,1.8,69.4,7.1
Emergency,2026-09-01,salaries,1251464.56,893047.47,358417.09,947,93.2,1.8,69.4,7.1
Emergency,2026-09-01,supplies,379609.6,322887.26,56722.34,947,93.2,1.8,69.4,7.1
Emergency,2026-09-01,utilities,379609.6,196614.27,182995.33,947,93.2,1.8,69.4,7.1
General Medicine,2025-10-01,equipment,453298.35,344462.15,108836.2,459,73.3,4.0,80.7,5.7
General Medicine,2025-10-01,maintenance,453298.35,121875.16,331423.19,459,73.3,4.0,80.7,5.7
General Medicine,2025-10-01,salaries,1401867.68,777811.04,624056.64,459,73.3,4.0,80.7,5.7
General Medicine,2025-10-01,supplies,453298.35,277803.11,175495.24,459,73.3,4.0,80.7,5.7
General Medicine,2025-10-01,utilities,453298.35,174464.98,278833.37,459,73.3,4.0,80.7,5.7
General Medicine,2025-11-01,equipment,429498.23,344983.73,84514.5,531,74.1,3.6,78.7,4.6
General Medicine,2025-11-01,maintenance,429498.23,109635.02,319863.21,531,74.1,3.6,78.7,4.6
General Medicine,2025-11-01,salaries,1339391.88,736480.69,602911.19,531,74.1,3.6,78.7,4.6
General Medicine,2025-11-01,supplies,429498.23,283553.54,145944.69,531,74.1,3.6,78.7,4.6
General Medicine,2025-11-01,utilities,429498.23,152155.47,277342.76,531,74.1,3.6,78.7,4.6
General Medicine,2025-12-01,equipment,435909.99,339482.09,96427.9,521,74.0,3.7,79.9,4.9
General Medicine,2025-12-01,maintenance,435909.99,116861.82,319048.17,521,74.0,3.7,79.9,4.9
General Medicine,2025-12-01,salaries,1351717.38,802723.57,548993.81,521,74.0,3.7,79.9,4.9
General Medicine,2025-12-01,supplies,435909.99,293974.89,141935.1,521,74.0,3.7,79.9,4.9
General Medicine,2025-12-01,utilities,435909.99,178761.74,257148.25,521,74.0,3.7,79.9,4.9
General Medicine,2026-01-01,equipment,464860.43,337119.03,127741.4,513,77.9,3.8,76.2,5.7
General Medicine,2026-01-01,maintenance,464860.43,108711.1,356149.33,513,77.9,3.8,76.2,5.7
General Medicine,2026-01-01,salaries,1409937.15,759406.72,650530.43,513,77.9,3.8,76.2,5.7
General Medicine,2026-01-01,supplies,464860.43,271899.6,192960.83,513,77.9,3.8,76.2,5.7
General Medicine,2026-01-01,utilities,464860.43,147111.28,317749.15,513,77.9,3.8,76.2,5.7
General Medicine,2026-02-01,equipment,457300.2,314420.58,142879.62,540,79.4,3.5,80.3,4.7
General Medicine,2026-02-01,maintenance,457300.2,115851.45,341448.75,540,79.4,3.5,80.3,4.7
General Medicine,2026-02-01,salaries,1489751.69,732931.26,756820.43,540,79.4,3.5,80.3,4.7
General Medicine,2026-02-01,supplies,457300.2,291806.28,165493.92,540,79.4,3.5,80.3,4.7
General Medicine,2026-02-01,utilities,457300.2,153867.01,303433.19,540,79.4,3.5,80.3,4.7
General Medicine,2026-03-01,equipment,426503.06,350633.62,75869.44,544,79.5,3.5,77.4,5.6
General Medicine,2026-03-01,maintenance,426503.06,110018.94,316484.12,544,79.5,3.5,77.4,5.6
General Medicine,2026-03-01,salaries,1449306.57,764195.82,685110.75,544,79.5,3.5,77.4,5.6
General Medicine,2026-03-01,supplies,426503.06,312103.36,114399.7,544,79.5,3.5,77.4,5.6
General Medicine,2026-03-01,utilities,426503.06,165116.15,261386.91,544,79.5,3.5,77.4,5.6
General Medicine,2026-04-01,equipment,458067.8,334672.58,123395.22,465,79.1,3.5,79.2,5.2
General Medicine,2026-04-01,maintenance,458067.8,111498.18,346569.62,465,79.1,3.5,79.2,5.2
General Medicine,2026-04-01,salaries,1596325.21,705777.84,890547.37,465,79.1,3.5,79.2,5.2
General Medicine,2026-04-01,supplies,458067.8,281678.28,176389.52,465,79.1,3.5,79.2,5.2
General Medicine,2026-04-01,utilities,458067.8,156719.74,301348.06,465,79.1,3.5,79.2,5.2
General Medicine,2026-05-01,equipment,448052.75,346495.29,101557.46,507,77.0,3.8,80.0,4.7
General Medicine,2026-05-01,maintenance,448052.75,115384.96,332667.79,507,77.0,3.8,80.0,4.7
General Medicine,2026-05-01,salaries,1432111.58,684868.34,747243.24,507,77.0,3.8,80.0,4.7
General Medicine,2026-05-01,supplies,448052.75,299584.89,148467.86,507,77.0,3.8,80.0,4.7
General Medicine,2026-05-01,utilities,448052.75,172275.08,275777.67,507,77.0,3.8,80.0,4.7
General Medicine,2026-06-01,equipment,445236.28,327931.1,117305.18,561,76.8,3.6,81.1,5.2
General Medicine,2026-06-01,maintenance,445236.28,115427.78,329808.5,561,76.8,3.6,81.1,5.2
General Medicine,2026-06-01,salaries,1382978.14,686567.13,696411.01,561,76.8,3.6,81.1,5.2
General Medicine,2026-06-01,supplies,445236.28,302306.28,142930.0,561,76.8,3.6,81.1,5.2
General Medicine,2026-06-01,utilities,445236.28,169930.43,275305.85,561,76.8,3.6,81.1,5.2
General Medicine,2026-07-01,equipment,453457.75,339459.76,113997.99,490,77.7,3.6,80.0,4.5
General Medicine,2026-07-01,maintenance,453457.75,113718.5,339739.25,490,77.7,3.6,80.0,4.5
General Medicine,2026-07-01,salaries,1596532.72,726115.95,870416.77,490,77.7,3.6,80.0,4.5
General Medicine,2026-07-01,supplies,453457.75,276281.78,177175.97,490,77.7,3.6,80.0,4.5
General Medicine,2026-07-01,utilities,453457.75,151288.64,302169.11,490,77.7,3.6,80.0,4.5
General Medicine,2026-08-01,equipment,464007.83,337727.92,126279.91,514,75.4,3.6,79.8,5.0
General Medicine,2026-08-01,maintenance,464007.83,106272.2,357735.63,514,75.4,3.6,79.8,5.0
General Medicine,2026-08-01,salaries,1586683.25,777117.2,809566.05,514,75.4,3.6,79.8,5.0
General Medicine,2026-08-01,supplies,464007.83,282746.45,181261.38,514,75.4,3.6,79.8,5.0
General Medicine,2026-08-01,utilities,464007.83,156410.65,307597.18,514,75.4,3.6,79.8,5.0
General Medicine,2026-09-01,equipment,448020.97,329131.76,118889.21,571,79.2,3.5,80.2,5.7
General Medicine,2026-09-01,maintenance,448020.97,120464.28,327556.69,571,79.2,3.5,80.2,5.7
General Medicine,2026-09-01,salaries,1326885.37,792839.51,534045.86,571,79.2,3.5,80.2,5.7
General Medicine,2026-09-01,supplies,448020.97,306565.52,141455.45,571,79.2,3.5,80.2,5.7
General Medicine,2026-09-01,utilities,448020.97,158692.61,289328.36,571,79.2,3.5,80.2,5.7
General Surgery,2025-10-01,equipment,499718.86,346409.22,153309.64,298,76.3,4.2,79.9,4.0
General Surgery,2025-10-01,maintenance,499718.86,115166.71,384552.15,298,76.3,4.2,79.9,4.0
General Surgery,2025-10-01,salaries,1457301.5,768042.13,689259.37,298,76.3,4.2,79.9,4.0
General Surgery,2025-10-01,supplies,499718.86,312683.41,187035.45,298,76.3,4.2,79.9,4.0
General Surgery,2025-10-01,utilities,499718.86,156036.53,343682.33,298,76.3,4.2,79.9,4.0
General Surgery,2025-11-01,equipment,486213.31,340004.76,146208.55,320,72.9,4.3,81.5,4.6
General Surgery,2025-11-01,maintenance,486213.31,129955.61,356257.7,320,72.9,4.3,81.5,4.6
General Surgery,2025-11-01,salaries,1432577.62,799282.61,633295.01,320,72.9,4.3,81.5,4.6
General Surgery,2025-11-01,supplies,486213.31,336564.84,149648.47,320,72.9,4.3,81.5,4.6
General Surgery,2025-11-01,utilities,486213.31,175875.72,310337.59,320,72.9,4.3,81.5,4.6
General Surgery,2025-12-01,equipment,513475.38,379158.7,134316.68,329,74.7,4.1,80.4,5.0
General Surgery,2025-12-01,maintenance,513475.38,124979.75,388495.63,329,74.7,4.1,80.4,5.0
General Surgery,2025-12-01,salaries,1824776.88,815088.56,1009688.32,329,74.7,4.1,80.4,5.0
General Surgery,2025-12-01,supplies,513475.38,326919.18,186556.2,329,74.7,4.1,80.4,5.0
General Surgery,2025-12-01,utilities,513475.38,184665.28,328810.1,329,74.7,4.1,80.4,5.0
General Surgery,2026-01-01,equipment,524315.19,345043.45,179271.74,289,71.1,4.4,77.4,4.5
General Surgery,2026-01-01,maintenance,524315.19,123927.33,400387.86,289,71.1,4.4,77.4,4.5
General Surgery,2026-01-01,salaries,1790257.13,829046.6,961210.53,289,71.1,4.4,77.4,4.5
General Surgery,2026-01-01,supplies,524315.19,299789.01,224526.18,289,71.1,4.4,77.4,4.5
General Surgery,2026-01-01,utilities,524315.19,166218.2,358096.99,289,71.1,4.4,77.4,4.5
General Surgery,2026-02-01,equipment,523633.75,323954.18,199679.57,323,76.6,4.5,82.3,4.4
General Surgery,2026-02-01,maintenance,523633.75,118096.9,405536.85,323,76.6,4.5,82.3,4.4
General Surgery,2026-02-01,salaries,1622140.52,797598.54,824541.98,323,76.6,4.5,82.3,4.4
General Surgery,2026-02-01,supplies,523633.75,301977.6,221656.15,323,76.6,4.5,82.3,4.4
General Surgery,2026-02-01,utilities,523633.75,167375.84,356257.91,323,76.6,4.5,82.3,4.4
General Surgery,2026-03-01,equipment,514683.93,349680.51,165003.42,314,77.2,4.4,81.7,4.3
General Surgery,2026-03-01,maintenance,514683.93,119283.03,395400.9,314,77.2,4.4,81.7,4.3
General Surgery,2026-03-01,salaries,1740103.21,728878.3,1011224.91,314,77.2,4.4,81.7,4.3
General Surgery,2026-03-01,supplies,514683.93,283409.46,231274.47,314,77.2,4.4,81.7,4.3
General Surgery,2026-03-01,utilities,514683.93,166748.2,347935.73,314,77.2,4.4,81.7,4.3
General Surgery,2026-04-01,equipment,510849.54,346714.35,164135.19,309,72.8,3.9,76.9,4.5
General Surgery,2026-04-01,maintenance,510849.54,124827.54,386022.0,309,72.8,3.9,76.9,4.5
General Surgery,2026-04-01,salaries,1799858.79,759916.88,1039941.91,309,72.8,3.9,76.9,4.5
General Surgery,2026-04-01,supplies,510849.54,317533.08,193316.46,309,72.8,3.9,76.9,4.5
General Surgery,2026-04-01,utilities,510849.54,180819.39,330030.15,309,72.8,3.9,76.9,4.5
General Surgery,2026-05-01,equipment,511571.25,357286.54,154284.71,320,75.0,3.9,79.1,4.5
General Surgery,2026-05-01,maintenance,511571.25,123044.24,388527.01,320,75.0,3.9,79.1,4.5
General Surgery,2026-05-01,salaries,1750134.21,742819.77,1007314.44,320,75.0,3.9,79.1,4.5
General Surgery,2026-05-01,supplies,511571.25,326426.58,185144.67,320,75.0,3.9,79.1,4.5
General Surgery,2026-05-01,utilities,511571.25,166890.71,344680.54,320,75.0,3.9,79.1,4.5
General Surgery,2026-06-01,equipment,522754.03,353100.57,169653.46,338,73.0,4.3,79.8,4.5
General Surgery,2026-06-01,maintenance,522754.03,128446.15,394307.88,338,73.0,4.3,79.8,4.5
General Surgery,2026-06-01,salaries,1599946.01,766824.63,833121.38,338,73.0,4.3,79.8,4.5
General Surgery,2026-06-01,supplies,522754.03,296891.04,225862.99,338,73.0,4.3,79.8,4.5
General Surgery,2026-06-01,utilities,522754.03,173704.56,349049.47,338,73.0,4.3,79.8,4.5
General Surgery,2026-07-01,equipment,517951.48,352850.25,165101.23,301,71.5,4.3,81.5,4.9
General Surgery,2026-07-01,maintenance,517951.48,122376.14,395575.34,301,71.5,4.3,81.5,4.9
General Surgery,2026-07-01,salaries,1553154.56,774618.37,778536.19,301,71.5,4.3,81.5,4.9
General Surgery,2026-07-01,supplies,517951.48,287898.57,230052.91,301,71.5,4.3,81.5,4.9
General Surgery,2026-07-01,utilities,517951.48,170106.06,347845.42,301,71.5,4.3,81.5,4.9
General Surgery,2026-08-01,equipment,500715.97,335459.7,165256.27,321,73.6,4.0,78.0,4.4
General Surgery,2026-08-01,maintenance,500715.97,123009.12,377706.85,321,73.6,4.0,78.0,4.4
General Surgery,2026-08-01,salaries,1614381.6,765899.25,848482.35,321,73.6,4.0,78.0,4.4
General Surgery,2026-08-01,supplies,500715.97,319029.27,181686.7,321,73.6,4.0,78.0,4.4
General Surgery,2026-08-01,utilities,500715.97,172396.43,328319.54,321,73.6,4.0,78.0,4.4
General Surgery,2026-09-01,equipment,541996.02,341602.62,200393.4,333,75.3,4.2,78.6,4.0
General Surgery,2026-09-01,maintenance,541996.02,125280.69,416715.33,333,75.3,4.2,78.6,4.0
General Surgery,2026-09-01,salaries,1882920.66,832598.64,1050322.02,333,75.3,4.2,78.6,4.0
General Surgery,2026-09-01,supplies,541996.02,298716.08,243279.94,333,75.3,4.2,78.6,4.0
General Surgery,2026-09-01,utilities,541996.02,164174.22,377821.8,333,75.3,4.2,78.6,4.0
ICU,2025-10-01,equipment,668331.28,537319.38,131011.9,77,95.1,7.2,71.1,8.9
ICU,2025-10-01,maintenance,668331.28,194899.31,473431.97,77,95.1,7.2,71.1,8.9
ICU,2025-10-01,salaries,1982804.07,1303753.69,679050.38,77,95.1,7.2,71.1,8.9
ICU,2025-10-01,supplies,668331.28,516342.54,151988.74,77,95.1,7.2,71.1,8.9
ICU,2025-10-01,utilities,668331.28,281766.36,386564.92,77,95.1,7.2,71.1,8.9
ICU,2025-11-01,equipment,616914.15,649325.17,-32411.02,88,87.4,7.5,76.2,9.4
ICU,2025-11-01,maintenance,616914.15,204157.68,412756.47,88,87.4,7.5,76.2,9.4
ICU,2025-11-01,salaries,2036285.16,1435945.6,600339.56,88,87.4,7.5,76.2,9.4
ICU,2025-11-01,supplies,616914.15,588647.42,28266.73,88,87.4,7.5,76.2,9.4
ICU,2025-11-01,utilities,616914.15,311168.64,305745.51,88,87.4,7.5,76.2,9.4
ICU,2025-12-01,equipment,616695.84,640163.07,-23467.23,87,93.4,6.8,74.9,7.9
ICU,2025-12-01,maintenance,616695.84,214602.55,402093.29,87,93.4,6.8,74.9,7.9
ICU,2025-12-01,salaries,2067330.29,1344090.27,723240.02,87,93.4,6.8,74.9,7.9
ICU,2025-12-01,supplies,616695.84,512656.91,104038.93,87,93.4,6.8,74.9,7.9
ICU,2025-12-01,utilities,616695.84,304200.4,312495.44,87,93.4,6.8,74.9,7.9
ICU,2026-01-01,equipment,649110.55,588493.08,60617.47,80,93.8,6.8,75.3,7.7
ICU,2026-01-01,maintenance,649110.55,206727.8,442382.75,80,93.8,6.8,75.3,7.7
ICU,2026-01-01,salaries,2036573.42,1257663.53,778909.89,80,93.8,6.8,75.3,7.7
ICU,2026-01-01,supplies,649110.55,545120.24,103990.31,80,93.8,6.8,75.3,7.7
ICU,2026-01-01,utilities,649110.55,278648.6,370461.95,80,93.8,6.8,75.3,7.7
ICU,2026-02-01,equipment,639069.14,613188.49,25880.65,87,90.5,7.0,72.1,9.3
ICU,2026-02-01,maintenance,639069.14,232441.49,406627.65,87,90.5,7.0,72.1,9.3
ICU,2026-02-01,salaries,2098584.96,1459441.76,639143.2,87,90.5,7.0,72.1,9.3
ICU,2026-02-01,supplies,639069.14,539390.3,99678.84,87,90.5,7.0,72.1,9.3
ICU,2026-02-01,utilities,639069.14,300093.96,338975.18,87,90.5,7.0,72.1,9.3
ICU,2026-03-01,equipment,649873.14,605385.26,44487.88,93,93.8,7.2,76.6,9.5
ICU,2026-03-01,maintenance,649873.14,205796.45,444076.69,93,93.8,7.2,76.6,9.5
ICU,2026-03-01,salaries,2181247.72,1458556.87,722690.85,93,93.8,7.2,76.6,9.5
ICU,2026-03-01,supplies,649873.14,533647.26,116225.88,93,93.8,7.2,76.6,9.5
ICU,2026-03-01,utilities,649873.14,285615.53,364257.61,93,93.8,7.2,76.6,9.5
ICU,2026-04-01,equipment,676352.53,615668.57,60683.96,79,90.7,6.9,74.4,9.4
ICU,2026-04-01,maintenance,676352.53,220582.04,455770.49,79,90.7,6.9,74.4,9.4
ICU,2026-04-01,salaries,2062808.82,1431604.68,631204.14,79,90.7,6.9,74.4,9.4
ICU,2026-04-01,supplies,676352.53,587391.79,88960.74,79,90.7,6.9,74.4,9.4
ICU,2026-04-01,utilities,676352.53,302404.81,373947.72,79,90.7,6.9,74.4,9.4
ICU,2026-05-01,equipment,637649.25,597527.47,40121.78,82,93.7,6.8,74.3,9.5
ICU,2026-05-01,maintenance,637649.25,206827.87,430821.38,82,93.7,6.8,74.3,9.5
